Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Køn: Mænd;Brug af apps til at mindske madspild;15;..;13;..;..;..;..;..;..;..;..
Køn: Mænd;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;10;..;8;..;..;..;..;..;..;..;..
Køn: Mænd;Brug af dating apps eller hjemmesider;11;..;15;..;..;8;..;..;..;..;..
Køn: Mænd;Lytter til podcast uanset emne;44;..;40;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Sende/modtage e-mail;88;90;91;86;86;88;88;..;81;79;76
Højeste fuldførte uddannelse: Grundskole;Søge infomation om varer mv.;82;73;82;74;78;67;75;65;72;70;70
Højeste fuldførte uddannelse: Grundskole;Services ifm. rejser mv;..;..;..;..;..;44;48;49;..;..;..
Højeste fuldførte uddannelse: Grundskole;Downloade software;..;..;..;..;..;..;..;..;..;40;..
Højeste fuldførte uddannelse: Grundskole;Læse/downloade nyheder;77;73;77;71;..;76;56;54;58;57;62
Højeste fuldførte uddannelse: Grundskole;Jobsøgning;..;28;..;29;..;25;..;..;..;23;..
Højeste fuldførte uddannelse: Grundskole;Søge helbredsmæssig information;62;64;62;54;58;54;53;56;..;41;..
Højeste fuldførte uddannelse: Grundskole;Internetbank;88;88;88;84;80;81;77;74;73;69;66
Højeste fuldførte uddannelse: Grundskole;Salg af varer/tjenester;24;28;24;17;24;25;26;28;21;20;19
Højeste fuldførte uddannelse: Grundskole;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;39;..
Højeste fuldførte uddannelse: Grundskole;Følge online kursus;..;..;..;..;..;..;..;..;..;5;..
Højeste fuldførte uddannelse: Grundskole;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;50;..
Højeste fuldførte uddannelse: Grundskole;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;80;77;79;81;75;72;75;..;..;..
Højeste fuldførte uddannelse: Grundskole;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;30;27;30;36;35;38;37;37;..;..;..
Højeste fuldførte uddannelse: Grundskole;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;51;53;57;60;55;55;55;..;..;..
Højeste fuldførte uddannelse: Grundskole;Delt/udtrykt egne holdinger på nettet;21;23;..;19;..;23;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Deltaget i online høringer/afstemninger;11;9;..;12;..;12;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brugt sociale netværkstjenester;78;79;81;77;74;72;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;18;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Taget online kursus;8;13;11;7;..;6;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brugt e-learning materiale;30;24;34;..;..;12;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Kommunikeret med underviser/elev på websider/portaler;18;..;26;16;..;12;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Delt egne billeder, tekst, videoer, musik eller software;47;..;55;47;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Lyttet til musik via webradio eller streamingstjeneste;69;..;70;65;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;80;84;83;72;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;66;63;63;52;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;31;17;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brug af apps til at mindske madspild;17;..;14;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;10;..;7;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Brug af dating apps eller hjemmesider;11;..;13;..;..;8;..;..;..;..;..
Højeste fuldførte uddannelse: Grundskole;Lytter til podcast uanset emne;35;..;32;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Sende/modtage e-mail;95;97;97;95;96;94;94;..;93;92;89
Højeste fuldførte uddannelse: Ungdomsuddannelse;Søge infomation om varer mv.;90;88;92;87;90;82;89;79;87;86;84
